id,type,group,pattern,group_color,perceived_color,index,section,garment_group,category,simplified_pattern,color_gategory
0145872051,Top,Garment Upper body,Melange,Black,Black,Sport,Men H&M Sport,Jersey Fancy,upper_body,solid,neutral
0150959011,Trousers,Garment Lower body,Solid,Black,Black,Sport,Men H&M Sport,Jersey Fancy,lower_body,solid,neutral
0150959013,Trousers,Garment Lower body,Solid,Dark Grey,Grey,Sport,Men H&M Sport,Jersey Fancy,lower_body,solid,neutral
0156289011,Trousers,Garment Lower body,Denim,Blue,Blue,Children Sizes 92-140,Kids Boy,Trousers Denim,lower_body,structured,cool
0156610001,Trousers,Garment Lower body,Solid,Black,Black,Sport,Men H&M Sport,Jersey Fancy,lower_body,solid,neutral
0156610007,Trousers,Garment Lower body,Solid,Black,Black,Sport,Men H&M Sport,Jersey Fancy,lower_body,solid,neutral
0156610010,Trousers,Garment Lower body,All over pattern,Black,Black,Sport,Men H&M Sport,Jersey Fancy,lower_body,printed,neutral
0225784001,T-shirt,Garment Upper body,Solid,Black,Black,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,solid,neutral
0225784023,T-shirt,Garment Upper body,Stripe,Pink,Pink,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,unknown,warm
0225784037,T-shirt,Garment Upper body,Mixed solid/pattern,Dark Blue,Blue,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,printed,cool
0225784039,T-shirt,Garment Upper body,Solid,Other Orange,Orange,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,solid,warm
0225784040,T-shirt,Garment Upper body,All over pattern,Grey,Grey,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,printed,neutral
0225784043,T-shirt,Garment Upper body,Stripe,White,White,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,unknown,neutral
0225784044,T-shirt,Garment Upper body,Melange,Light Pink,Pink,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,solid,warm
0225784045,T-shirt,Garment Upper body,All over pattern,White,White,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,printed,neutral
0233672016,Sweater,Garment Upper body,Stripe,Dark Blue,Blue,Menswear,Men Underwear,Jersey Basic,upper_body,unknown,cool
0234622003,Top,Garment Upper body,Solid,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0234622004,Top,Garment Upper body,Solid,Grey,Grey,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,neutral
0234622007,Top,Garment Upper body,Solid,White,White,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,neutral
0237222001,Top,Garment Upper body,Solid,Black,Black,Ladieswear,Womens Everyday Basics,Jersey Basic,upper_body,solid,neutral
0237222012,Top,Garment Upper body,Solid,White,White,Ladieswear,Womens Everyday Basics,Jersey Basic,upper_body,solid,neutral
0237222016,Top,Garment Upper body,Stripe,Dark Blue,Blue,Ladieswear,Womens Everyday Basics,Jersey Basic,upper_body,unknown,cool
0238197014,Top,Garment Upper body,Melange,Dark Pink,Pink,Divided,Divided Basics,Jersey Basic,upper_body,solid,other
0238197030,Top,Garment Upper body,Solid,Dark Blue,Blue,Divided,Divided Basics,Jersey Basic,upper_body,solid,cool
0238197034,Top,Garment Upper body,Stripe,White,White,Divided,Divided Basics,Jersey Basic,upper_body,unknown,neutral
0240670058,T-shirt,Garment Upper body,Melange,Dark Blue,Blue,Divided,Divided Basics,Jersey Basic,upper_body,solid,cool
0240670060,T-shirt,Garment Upper body,Melange,Light Orange,Orange,Divided,Divided Basics,Jersey Basic,upper_body,solid,warm
0240840032,Trousers,Garment Lower body,Solid,Black,Black,Baby Sizes 50-98,Baby Essentials & Complements,Jersey Basic,lower_body,solid,neutral
0241486015,Trousers,Garment Lower body,Solid,Black,Black,Sport,Men H&M Sport,Jersey Fancy,lower_body,solid,neutral
0241486016,Trousers,Garment Lower body,Solid,Black,Black,Sport,Men H&M Sport,Jersey Fancy,lower_body,solid,neutral
0244267001,Sweater,Garment Upper body,Solid,Dark Blue,Blue,Ladieswear,Womens Everyday Collection,Knitwear,upper_body,solid,cool
0244267004,Sweater,Garment Upper body,Solid,White,White,Ladieswear,Womens Everyday Collection,Knitwear,upper_body,solid,neutral
0244267017,Sweater,Garment Upper body,Other pattern,Light Pink,Pink,Ladieswear,Womens Everyday Collection,Knitwear,upper_body,other,warm
0244267021,Sweater,Garment Upper body,Other pattern,Light Blue,Blue,Ladieswear,Womens Everyday Collection,Knitwear,upper_body,other,cool
0244267027,Sweater,Garment Upper body,Other structure,Dark Beige,Brown,Ladieswear,Womens Everyday Collection,Knitwear,upper_body,structured,neutral
0244267028,Sweater,Garment Upper body,Other structure,Dark Blue,Blue,Ladieswear,Womens Everyday Collection,Knitwear,upper_body,structured,cool
0244267029,Sweater,Garment Upper body,Neps,Light Pink,Pink,Ladieswear,Womens Everyday Collection,Knitwear,upper_body,structured,warm
0244267032,Sweater,Garment Upper body,Other pattern,Black,Black,Ladieswear,Womens Everyday Collection,Knitwear,upper_body,other,neutral
0249136006,Trousers,Garment Lower body,Denim,Light Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0249136011,Trousers,Garment Lower body,Denim,White,White,Ladieswear,Mama,Trousers,lower_body,structured,neutral
0249136015,Trousers,Garment Lower body,Denim,Light Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0249136019,Trousers,Garment Lower body,Denim,Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0249136020,Trousers,Garment Lower body,Denim,Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0249136022,Trousers,Garment Lower body,Denim,Dark Blue,Lilac Purple,Ladieswear,Mama,Trousers,lower_body,structured,cool
0249136023,Trousers,Garment Lower body,Denim,Light Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0249136025,Trousers,Garment Lower body,Denim,Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0249136028,Trousers,Garment Lower body,Denim,Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0249136034,Trousers,Garment Lower body,Denim,Dark Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0256096022,T-shirt,Garment Upper body,All over pattern,Dark Blue,Blue,Baby Sizes 50-98,Baby Essentials & Complements,Jersey Basic,upper_body,printed,cool
0256096023,T-shirt,Garment Upper body,Stripe,Yellow,Yellow,Baby Sizes 50-98,Baby Essentials & Complements,Jersey Basic,upper_body,unknown,warm
0257667055,T-shirt,Garment Upper body,Melange,Light Orange,Orange,Ladieswear,Womens Everyday Basics,Jersey Basic,upper_body,solid,warm
0257667061,T-shirt,Garment Upper body,Solid,Dark Blue,Blue,Ladieswear,Womens Everyday Basics,Jersey Basic,upper_body,solid,cool
0404609007,Blouse,Garment Upper body,All over pattern,Light Blue,Blue,Divided,Divided Projects,Blouses,upper_body,printed,cool
0407031005,Blouse,Garment Upper body,Solid,Light Blue,Blue,Divided,Divided Projects,Blouses,upper_body,solid,cool
0410624005,T-shirt,Garment Upper body,Solid,Light Turquoise,Turquoise,Divided,Divided Projects,Jersey Fancy,upper_body,solid,cool
0411013001,Sweater,Garment Upper body,Treatment,Dark Grey,Grey,Divided,Divided Selected,Knitwear,upper_body,structured,neutral
0411013002,Sweater,Garment Upper body,Treatment,Black,Black,Divided,Divided Selected,Knitwear,upper_body,structured,neutral
0411013007,Sweater,Garment Upper body,Solid,Beige,Mole,Divided,Divided Selected,Knitwear,upper_body,solid,neutral
0411013010,Sweater,Garment Upper body,Stripe,Pink,Pink,Divided,Divided Selected,Knitwear,upper_body,unknown,warm
0411413001,T-shirt,Garment Upper body,Solid,Black,Black,Divided,Divided Basics,Jersey Basic,upper_body,solid,neutral
0411413002,T-shirt,Garment Upper body,Solid,White,White,Divided,Divided Basics,Jersey Basic,upper_body,solid,neutral
0411413004,T-shirt,Garment Upper body,Melange,Dark Green,Green,Divided,Divided Basics,Jersey Basic,upper_body,solid,cool
0411413008,T-shirt,Garment Upper body,Solid,Other,undefined,Divided,Divided Basics,Jersey Basic,upper_body,solid,other
0411413010,T-shirt,Garment Upper body,Melange,Light Turquoise,Turquoise,Divided,Divided Basics,Jersey Basic,upper_body,solid,cool
0411413014,T-shirt,Garment Upper body,Solid,Dark Pink,Red,Divided,Divided Basics,Jersey Basic,upper_body,solid,other
0411413017,T-shirt,Garment Upper body,Solid,Greenish Khaki,Khaki green,Divided,Divided Basics,Jersey Basic,upper_body,solid,cool
0411413020,T-shirt,Garment Upper body,Solid,Blue,Blue,Divided,Divided Basics,Jersey Basic,upper_body,solid,cool
0411413021,T-shirt,Garment Upper body,Stripe,Red,Red,Divided,Divided Basics,Jersey Basic,upper_body,unknown,warm
0411413022,T-shirt,Garment Upper body,Melange,Grey,Grey,Divided,Divided Basics,Jersey Basic,upper_body,solid,neutral
0411413023,T-shirt,Garment Upper body,Solid,Red,Red,Divided,Divided Basics,Jersey Basic,upper_body,solid,warm
0411758001,Trousers,Garment Lower body,Solid,Black,Black,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0411758003,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0411758008,Trousers,Garment Lower body,Solid,White,White,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0411758014,Trousers,Garment Lower body,Solid,Dark Grey,Black,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0411758029,Trousers,Garment Lower body,Solid,Yellowish Brown,Brown,Menswear,Contemporary Smart,Trousers,lower_body,solid,other
0411758038,Trousers,Garment Lower body,Solid,Dark Red,Red,Menswear,Contemporary Smart,Trousers,lower_body,solid,warm
0412031001,Trousers,Garment Lower body,Treatment,Black,Black,Menswear,Contemporary Casual,Trousers,lower_body,structured,neutral
0412707025,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
0412707028,Trousers,Garment Lower body,Solid,Black,Black,Divided,Divided Collection,Trousers,lower_body,solid,neutral
0412707029,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
0413029003,Trousers,Garment Lower body,Solid,Black,Black,Divided,Ladies Denim,Trousers Denim,lower_body,solid,neutral
0413029008,Trousers,Garment Lower body,Denim,White,White,Divided,Ladies Denim,Trousers Denim,lower_body,structured,neutral
0413911001,Sweater,Garment Upper body,Melange,Grey,Grey,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,neutral
0413911002,Sweater,Garment Upper body,Solid,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0413911011,Sweater,Garment Upper body,Solid,Light Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0413911012,Sweater,Garment Upper body,Solid,Black,Black,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,neutral
0413911013,Sweater,Garment Upper body,Solid,Red,Red,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,warm
0413911015,Sweater,Garment Upper body,Solid,Dark Green,Green,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0413911018,Sweater,Garment Upper body,Solid,Light Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0413911021,Sweater,Garment Upper body,Solid,Turquoise,Turquoise,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0413911029,Sweater,Garment Upper body,Slub,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0413911030,Sweater,Garment Upper body,Slub,Dark Turquoise,Turquoise,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0413911035,Sweater,Garment Upper body,Solid,Dark Green,Green,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0413911036,Sweater,Garment Upper body,Solid,Yellow,Yellow,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,warm
0414066005,Sweater,Garment Upper body,Solid,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0414066008,Sweater,Garment Upper body,Solid,Dark Grey,Grey,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,neutral
0416157003,Trousers,Garment Lower body,Solid,Black,Black,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0416157005,Trousers,Garment Lower body,Solid,White,White,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0416157011,Trousers,Garment Lower body,Solid,Dark Red,Red,Menswear,Contemporary Smart,Trousers,lower_body,solid,warm
0416157013,Trousers,Garment Lower body,Solid,Light Beige,Beige,Menswear,Contemporary Smart,Trousers,lower_body,solid,other
0416157018,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0416157019,Trousers,Garment Lower body,Solid,Dark Grey,Grey,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0416157025,Trousers,Garment Lower body,Solid,Dark Grey,Grey,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0416157027,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0416157028,Trousers,Garment Lower body,Solid,Greenish Khaki,Khaki green,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0416157034,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0416157036,Trousers,Garment Lower body,Check,Dark Blue,Blue,Menswear,Contemporary Smart,Trousers,lower_body,structured,cool
0416175013,Trousers,Garment Lower body,Stripe,Dark Blue,Blue,Baby Sizes 50-98,Baby Essentials & Complements,Jersey Fancy,lower_body,unknown,cool
0416175023,Trousers,Garment Lower body,Stripe,Dark Blue,Blue,Baby Sizes 50-98,Baby Essentials & Complements,Jersey Fancy,lower_body,unknown,cool
0416175024,Trousers,Garment Lower body,Dot,Light Pink,Pink,Baby Sizes 50-98,Baby Essentials & Complements,Jersey Fancy,lower_body,printed,warm
0416511001,Trousers,Garment Lower body,Solid,Black,Black,Divided,Divided Collection,Trousers,lower_body,solid,neutral
0416511002,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
0416511009,Trousers,Garment Lower body,Solid,Dark Grey,Grey,Divided,Divided Collection,Trousers,lower_body,solid,neutral
0416511014,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
0416511016,Trousers,Garment Lower body,Solid,Light Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
0416511021,Trousers,Garment Lower body,Solid,Light Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
0416511026,Trousers,Garment Lower body,Solid,Greenish Khaki,Khaki green,Divided,Divided Collection,Trousers,lower_body,solid,cool
0416961004,Trousers,Garment Lower body,Solid,Dark Grey,Grey,Divided,Divided Collection,Trousers,lower_body,solid,neutral
0416961006,Trousers,Garment Lower body,Solid,Black,Black,Divided,Divided Collection,Trousers,lower_body,solid,neutral
0416961018,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
0416961019,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
